	P31323	Q8WWI1	O95197	Q9UJ14	Q9UPX0	Q8TAC9	O94910	Q9BRQ6	Q8N608	P20020	Q15773	Q6UXD5	Q7L1I2	P63215	P32418	P53365	Q9Y5K8	Q16720	Q9UIW2	Q9NYI0	subtypes
TW690	0.157332196	-1.330008101	2.825476786	0.682181634	-2.537093447	2.073302242	-1.371958349	-0.885153619	0.551247235	2.363986337	-0.626163671	-0.894368723	2.088300802	-0.655017777	0.16347291	-1.20627588	1.528024219	-0.211016725	0.423682938	0.089924932	subtype2+3+4
TW691	-1.891174309	NA	1.977722691	-0.840409704	NA	NA	NA	-3.853785372	-2.580989583	1.951413702	-1.500988628	-0.965096212	-0.397677041	-3.178346996	-0.382301659	NA	0.267551932	NA	0.057277695	-2.232347575	subtype2+3+4
TW692	-1.650872806	NA	2.987244899	0.455849538	NA	-0.105963694	-2.161391984	-1.86085289	NA	2.925100088	-0.358477712	0.031057383	-1.627525415	NA	0.984115843	-1.921996825	-0.017819854	-3.541859841	-0.15202199	-1.44509491	subtype2+3+4
TW693	-0.568296563	-1.522918017	2.777168125	-0.144534819	-3.030302498	-1.174332011	-2.628542906	-2.387474732	-0.528516077	0.374281488	-1.229016823	-3.52064935	NA	NA	-2.164529229	-1.736187011	-0.709772099	NA	-0.686445493	-1.645531304	subtype2+3+4
TW694	-0.721719685	-1.588766296	0.621890177	-0.668401577	-2.813011146	0.340009635	-2.917866688	-2.034437102	-2.173117825	1.585235064	-0.527816621	-1.199097946	-0.571687764	-1.946623283	-1.589235268	-1.896530101	0.031870515	-1.250232999	-1.150728734	-0.938484887	subtype2+3+4
TW696	-0.981842561	NA	3.292909212	1.200103789	-2.666897968	0.248869483	-3.177402906	-0.99253358	-1.282147499	0.630266586	-0.614433463	-0.564722251	-0.95185324	-2.115566427	-1.365689191	-2.811558274	1.035055112	-2.497248249	-1.24786439	-2.295665238	subtype2+3+4
TW697	-2.041092862	-1.758685452	1.635897521	-0.456047815	NA	NA	-6.498854117	-1.651263655	NA	0.859458262	-1.449688657	-0.253385895	-3.499374675	-5.431515013	-0.490636356	-1.768764251	0.570662761	NA	-0.984717235	-3.082935736	subtype2+3+4
TW698	2.597565638	1.6537741	4.467127104	2.093728448	0.949822676	4.600119919	0.874071419	0.869515623	2.209914678	4.625200373	2.293697915	2.151912935	4.517075989	2.615632163	1.903026905	0.446100862	3.365631053	2.911884947	2.001034875	2.360628543	subtype1
TW700	-0.910099225	NA	2.53756681	-1.877837649	-3.348048296	0.470052359	-2.15291128	-2.292211506	-1.050401164	2.085040592	-0.333735752	-1.070176211	0.452708699	-1.657725261	-1.508379468	-2.616761019	0.672702077	-0.849385642	-0.548544265	-0.853195603	subtype2+3+4
TW704	2.888613374	1.334402563	4.338846991	2.292142682	0.117906763	4.902949247	1.337736111	1.24894303	2.54255408	4.329265915	2.011567833	1.815409059	5.127158058	2.296792917	1.335001025	0.782941603	3.687745105	2.618563347	2.79561857	2.868276397	subtype1
TW705	-2.826223068	-2.128765654	2.236890737	0.749201594	-7.007723482	-0.904210152	-2.919772988	-1.171315044	-1.356286828	1.760705769	-0.914886408	-3.2942025	-2.469421138	-5.050564019	-1.393982453	-1.755391928	-0.572223874	NA	-0.76021304	-0.864849485	subtype2+3+4
TW706	-0.223744349	-2.075316518	2.482771406	-0.070901816	NA	0.511874479	-1.777234592	-0.76567947	-1.243810861	1.816059178	-0.61688177	-0.636574355	-0.165281276	-1.325641379	-1.236297524	-2.055684164	1.386243243	-1.20580383	-0.763446019	-1.01113099	subtype2+3+4
TW707	-1.84898937	-2.239134194	2.036368298	0.079228673	-3.791728611	-1.525091165	-2.565050376	-2.293536177	-2.164627305	0.919059318	-1.591605109	-3.809505959	-1.45209747	-3.797651866	-1.203206485	-2.04588434	-0.426737888	-5.534382492	-1.244002049	-0.660808516	subtype2+3+4
TW711	1.751345215	-0.118407408	3.836111114	1.994809274	0.194656824	4.324995816	0.304565318	0.172858432	1.63853394	3.912361623	1.395295806	0.209467019	4.084685374	2.153837714	1.012206533	0.005477758	2.575689784	2.058305634	1.938360918	2.090095322	subtype2+3+4
TW712	2.153712414	1.688468009	4.807021347	2.207872606	0.134403723	3.839738647	0.228589513	1.17889583	1.849316016	4.124446439	2.46333346	2.299588239	3.824458812	1.65903242	1.16734226	-0.242707234	2.972943679	2.289251035	1.257930391	2.266030951	subtype1
TW713	1.080457458	-0.978632507	2.047734986	-0.015124413	-3.245769195	0.757274375	-1.698620007	-0.424919487	-1.522512443	1.196852984	0.444707348	1.008925459	0.619398451	-1.45692958	-1.37361646	-1.501071712	1.116888941	-1.190660946	-0.415465822	-0.308578244	subtype2+3+4
TW715	-1.35210276	-2.8267707	2.199531036	-0.551498425	-2.796060297	-0.656489733	-3.37637884	-1.612822777	-2.771638704	2.08350812	-0.594167658	-2.18137664	-0.595545369	-2.576236473	-0.857565451	-1.763126044	0.378771156	-3.049927936	0.448112292	-2.163701252	subtype2+3+4
TW716	-0.945793387	-2.22305151	0.215509207	-1.361775517	-3.038570941	0.383065677	-1.934413009	-1.034935497	-2.552800558	1.092020502	0.145887654	-0.466957137	-0.14437356	-1.009384236	-2.512555905	-1.29677844	0.9400055	-1.981469693	-0.903154123	-0.209748388	subtype2+3+4
TW717	-0.999985808	-0.958699824	2.352816991	-0.031283358	-3.572976653	-0.064810478	-1.545414882	-0.910182409	-1.24363468	0.067008399	0.211257663	-1.100762772	-0.972504536	-2.405568655	-1.55249088	-3.028125188	0.948461055	-2.489082151	-1.725238925	-0.855601576	subtype2+3+4
TW719	2.848212321	2.018619425	5.420228632	2.883417039	0.519507434	4.832501786	1.192631712	1.274545583	2.527441925	4.895301203	2.259201464	2.198933148	5.059227251	2.009258302	1.796688428	0.00162432	3.506748371	2.813549268	2.384887689	2.399298383	subtype1
TW720	-0.321960863	-0.871527044	4.386413585	0.806396523	-1.831599889	0.148369227	-0.820052113	0.813574986	0.812176729	0.979031637	1.107363628	-0.647427802	0.375708647	-0.545737679	-1.705615563	-1.609553434	2.341288201	-1.245948275	0.059462128	0.389690483	subtype2+3+4
TW721	-3.149028308	NA	2.106954783	-0.931549723	-4.065247524	-0.75956931	-2.100572931	-0.86235884	NA	1.953875535	-1.362740005	-1.36577393	-0.917164659	-4.472268918	0.132703578	-2.375861773	0.394332552	-3.745824321	-0.801715104	-1.943795941	subtype2+3+4
TW723	1.050295856	-0.842696379	1.540452746	-0.427543344	-1.167519967	3.38999561	-0.744917178	-0.567150105	-1.205121913	3.492875114	0.132720862	-0.229642138	2.653749987	1.459171026	0.903023692	-1.178545104	1.79149047	0.765210518	0.409082204	0.196028438	subtype2+3+4
TW724	0.377191391	0.35247309	2.559844045	0.53286523	-0.352187224	3.077780295	0.039146595	-0.311745456	0.068546347	2.817546118	0.287430512	0.857842745	2.488921332	0.816214746	0.3350112	-2.061659064	1.911575943	0.518376711	1.046094907	0.789448842	subtype2+3+4
TW725	0.277708487	-1.007595128	1.994784112	-0.393293277	-3.8165444	-0.072386361	-1.870548458	-0.898556787	-2.177874973	0.035312145	0.013393363	0.372635688	-1.008033477	-2.186561233	-1.514493468	-2.30012593	0.765355366	-3.804265621	-1.845766823	-2.843106128	subtype2+3+4
TW726	-2.115251236	NA	1.174613587	-1.867122195	NA	-2.0733565	NA	-3.162410956	NA	-0.030772208	-1.213040295	-2.610922269	NA	-5.559799463	-2.075236673	-2.271490529	-0.435239766	NA	-1.885999674	-2.134818246	subtype2+3+4
TW727	2.362998437	3.309798924	5.040429947	2.774064612	1.238582672	5.102285393	0.968863384	1.549393134	2.742276271	4.820141866	2.85569735	3.189194746	5.303062134	1.944016974	1.731400996	0.387895095	3.337110669	2.807199761	2.154483122	3.079151914	subtype1
TW729	-0.776085075	-2.025476397	1.175163231	1.188286963	NA	-2.269033034	-4.027814481	-0.930920087	NA	0.315057276	0.529403229	-0.58272545	NA	-3.865520471	-3.658583476	-2.022561958	-1.162832061	NA	-1.618867363	-4.173553125	subtype2+3+4
TW730	0.170488184	-2.077799262	3.824199497	-0.660642659	-3.582872335	NA	-2.567067624	0.627458776	-3.20350027	NA	0.495834765	-0.661077302	NA	-1.744820309	NA	-1.785291782	2.171589042	NA	-1.902769375	-2.751695228	subtype2+3+4
TW731	-0.80669075	-0.915257086	2.241769136	0.764122718	-2.008462586	1.518709105	-2.469283618	-1.304597514	-0.896947073	1.868283711	-1.216701004	-0.864171671	1.253493059	-1.681033314	-0.700177742	-2.108648584	0.638646165	-0.556437948	-0.425724117	-0.451378598	subtype2+3+4
TW732	0.317286114	-1.21924047	3.148065926	-0.607134402	-2.808995785	-0.207391438	-1.967462062	-0.802442757	-0.912290391	-0.086929458	0.069649256	-1.134241096	-1.915963324	-0.432002651	-2.044110744	-1.088410257	2.585841443	-1.163303208	0.069677719	-1.157504398	subtype2+3+4
TW733	-0.888761402	-2.039899208	1.120334644	0.211150721	-4.840081198	-0.433696693	-3.041885177	-0.917986644	NA	1.334130861	-0.64880441	-2.311250963	-2.23312552	-3.31682594	-1.092549715	-2.529890438	0.475367176	-4.222289064	-0.647838909	-2.825955915	subtype2+3+4
TW735	2.518092869	3.246231938	5.380734392	2.760547266	1.436509728	5.476150588	1.167754224	1.415376666	2.694281862	4.840436748	2.791048967	2.345216016	4.427943777	2.440601017	2.188999706	-0.003936549	3.105037692	3.037568307	1.827847355	2.847594125	subtype1
TW736	-1.126361014	NA	3.601287132	1.486481243	-1.919240172	0.274596907	-1.931960685	-1.068177749	0.414275702	0.623294423	0.371492261	-0.828358342	-1.148499134	-1.963601794	-1.808149007	-2.477263969	0.946368442	-4.591708173	-1.008677256	-1.884647503	subtype2+3+4
TW737	-0.277852622	-2.5796478	1.91713325	-1.193281046	-4.989134415	NA	-3.819803245	-1.270464654	NA	1.189053064	-1.455421393	NA	-3.100329195	-6.215858934	-1.43401973	-1.892701401	0.039477543	-4.166009397	-1.332147148	-1.898019356	subtype2+3+4
TW740	2.619043905	3.57358437	5.385478296	2.713116366	1.544687239	3.809375088	1.215828301	1.634791051	3.02364959	4.937941577	2.867173773	3.27949983	5.578353994	2.34916456	2.074842312	0.353909608	3.308117298	3.179921397	2.442951657	3.370913824	subtype1
TW741	-0.673832904	-2.747584187	1.889955364	-0.205694348	-4.219445082	-0.092427921	-3.005365515	-1.337992495	-0.9313755	0.770265279	-1.301616361	-2.184549979	-1.695291204	-2.482366787	-1.660620488	-1.948308585	0.468564702	-3.087888831	-1.100051753	-1.733142966	subtype2+3+4
TW742	-0.253427491	-1.820138001	3.753059116	0.398441665	-2.595096919	0.401945449	-1.096236669	-1.064724535	0.244499856	1.360178102	-0.480141551	-0.136545919	-1.119975809	-2.518665064	-1.759316144	-2.420712801	1.591336372	-1.816760832	-0.595719292	-0.509216842	subtype2+3+4
TW744	2.483256914	1.903987649	6.213420738	2.68508121	0.36277462	4.48126464	0.456373783	1.967751157	2.673204708	4.354510317	3.079150575	1.902356315	4.053233354	1.928671127	1.264970206	0.181884575	3.182808607	2.472046661	1.733033541	2.72383699	subtype1
